Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,WEST
2012,4,18,4,0,16.666666666666668,34.083333333333336,741.1857623014805
2012,4,18,5,0,15.7,37.41333333333333,745.386896239605
2012,4,18,6,0,14.733333333333334,41.32666666666667,774.5620239766738
2012,4,18,7,0,13.833333333333334,45.19,850.8565222226249
2012,4,18,8,0,13.1,48.35,876.6355887590468
2012,4,18,9,0,12.333333333333334,51.54666666666666,884.8853574695747
2012,4,18,10,0,11.733333333333334,54.16,904.201204814586
2012,4,18,11,0,11.3,56.126666666666665,935.5531113515088
2012,4,18,12,0,11.1,57.47666666666667,960.6691309163684
2012,4,18,13,0,12.233333333333334,54.41666666666666,978.7271281482545
2012,4,18,14,0,15.4,45.946666666666665,1015.9943787337288
2012,4,18,15,0,19.3,37.36666666666667,1049.88655305765
2012,4,18,16,0,22.866666666666664,30.326666666666668,1092.176715724951
2012,4,18,17,0,25.8,24.926666666666662,1133.1978341942315
2012,4,18,18,0,28.1,21.273333333333333,1157.1127551068898
2012,4,18,19,0,29.766666666666666,18.69666666666667,1148.3096943641424
2012,4,18,20,0,30.83333333333333,16.926666666666666,1109.581244779621
2012,4,18,21,0,31.133333333333336,16.106666666666666,1097.8517466409105
2012,4,18,22,0,30.9,15.986666666666666,1067.4054648860233
2012,4,18,23,0,30.03333333333333,16.72,981.0161642293226
2012,4,19,0,0,28.2,18.88,886.7187900000001
2012,4,19,1,0,25.03333333333333,24.21,831.0783627937628
2012,4,19,2,0,22.33333333333333,30.790000000000003,794.7445633549305
2012,4,19,3,0,20.8,35.156666666666666,769.9271555062346
2012,4,19,4,0,19.566666666666663,39.47,742.535571786157
2012,4,19,5,0,18.46666666666667,43.43000000000001,746.5181703131245
2012,4,19,6,0,17.46666666666667,46.99,784.3149728553431
2012,4,19,7,0,16.599999999999998,50.26,865.5603941439657
2012,4,19,8,0,15.833333333333334,53.57666666666666,887.7383782568064
2012,4,19,9,0,15.3,56.26666666666667,901.4413466251538
2012,4,19,10,0,14.933333333333332,58.17,909.3552303457813
2012,4,19,11,0,14.566666666666668,59.81333333333333,934.3122898514456
2012,4,19,12,0,14.333333333333334,60.31,979.6893189313824
2012,4,19,13,0,15.2,54.76666666666667,1017.7354155996384
2012,4,19,14,0,17.733333333333334,42.16,1071.2080197835082
2012,4,19,15,0,21.433333333333334,29.176666666666662,1121.6170659238833
2012,4,19,16,0,25.4,19.37333333333333,1177.5751883521227
2012,4,19,17,0,28.5,13.01,1222.4393512593997
2012,4,19,18,0,30.366666666666664,10.54,1241.019671452464
2012,4,19,19,0,31.633333333333336,9.69,1214.773150774953
2012,4,19,20,0,32.333333333333336,9.24,1173.4569632458613
2012,4,19,21,0,32.4,9.093333333333334,1173.509107746971
2012,4,19,22,0,31.83333333333333,9.246666666666668,1141.7414022172518
2012,4,19,23,0,30.633333333333336,9.88,1054.3106473642624
2012,4,20,0,0,28.36666666666667,12.113333333333337,952.1447899999998
2012,4,20,1,0,24.96666666666667,18.476666666666667,873.3596113493654
2012,4,20,2,0,22.36666666666667,24.913333333333338,829.6728601643347
2012,4,20,3,0,21.133333333333336,28.03,804.2570766080787
2012,4,20,4,0,20.200000000000003,30.38,788.0025675101684
2012,4,20,5,0,19.133333333333336,32.96,784.3443227323519
2012,4,20,6,0,17.86666666666667,37.56666666666666,808.4931192689924
2012,4,20,7,0,16.8,42.14666666666667,880.3535164517561
2012,4,20,8,0,15.966666666666669,45.13333333333333,905.8231999831984
2012,4,20,9,0,15.166666666666666,47.77,916.9125469685912
2012,4,20,10,0,14.533333333333331,49.96333333333333,941.0738412634462
2012,4,20,11,0,13.966666666666669,52.07333333333333,970.6801628354358
2012,4,20,12,0,13.5,54.42333333333334,987.2984255021016
2012,4,20,13,0,13.966666666666669,55.24666666666667,994.7784319619263
2012,4,20,14,0,16.066666666666666,50.05,1001.7525197265774
2012,4,20,15,0,18.633333333333333,42.443333333333335,1017.437947044044
2012,4,20,16,0,20.7,35.99333333333333,1034.6339052968049
2012,4,20,17,0,22.4,31.32333333333333,1049.8812371590263
2012,4,20,18,0,23.666666666666668,27.85,1043.008128671648
2012,4,20,19,0,24.666666666666668,25.076666666666668,1017.753940078449
2012,4,20,20,0,25.2,23.19,985.3403558298048
2012,4,20,21,0,25.366666666666664,22.00333333333333,988.2484853373984
2012,4,20,22,0,25.1,21.59,975.3237451070382
2012,4,20,23,0,24.366666666666664,21.87,923.093931431933
2012,4,21,0,0,23.0,23.08333333333333,856.7600900000001
2012,4,21,1,0,20.33333333333333,27.116666666666664,802.430323894634
2012,4,21,2,0,17.6,34.89,770.6949956602177
2012,4,21,3,0,16.233333333333334,37.67,752.5117941458607
2012,4,21,4,0,15.1,40.123333333333335,747.6714859819018
2012,4,21,5,0,14.0,43.09333333333333,755.3554507077251
2012,4,21,6,0,12.966666666666669,46.48,771.4008037608673
2012,4,21,7,0,12.0,50.20000000000001,795.3020395517674
2012,4,21,8,0,11.133333333333333,54.053333333333335,815.3906040832544
2012,4,21,9,0,10.333333333333334,58.09,860.9222890342269
2012,4,21,10,0,9.633333333333333,62.053333333333335,903.7385783826674
2012,4,21,11,0,9.1,65.42666666666666,929.1057262656228
2012,4,21,12,0,9.033333333333331,66.47666666666667,940.4168388941498
2012,4,21,13,0,10.533333333333331,60.67333333333334,949.1617050771488
2012,4,21,14,0,13.966666666666669,48.78,965.0287670844314
2012,4,21,15,0,17.900000000000002,36.57333333333333,993.2556251241242
2012,4,21,16,0,21.399999999999995,28.17333333333333,1031.1108171661608
2012,4,21,17,0,24.46666666666667,22.38,1070.9839992188197
2012,4,21,18,0,26.766666666666666,18.96333333333333,1101.7167205320393
2012,4,21,19,0,28.5,16.736666666666668,1114.9606450004326
2012,4,21,20,0,29.666666666666668,15.32,1081.879791267667
2012,4,21,21,0,30.3,14.5,1039.8597794646782
2012,4,21,22,0,30.3,14.216666666666669,1009.111336542734
2012,4,21,23,0,29.83333333333333,14.273333333333332,943.3711543166876
2012,4,22,0,0,28.366666666666664,15.3,876.74774
2012,4,22,1,0,25.133333333333336,25.293333333333333,818.7992569669807
2012,4,22,2,0,22.0,29.81,780.8621988788906
2012,4,22,3,0,20.33333333333333,31.00333333333333,758.2505142008009
2012,4,22,4,0,18.96666666666667,32.913333333333334,744.08531529886
2012,4,22,5,0,17.76666666666667,35.22333333333333,735.295326093029
2012,4,22,6,0,16.6,38.11333333333334,739.0834994749464
2012,4,22,7,0,15.666666666666666,40.71666666666667,755.0988417792947
2012,4,22,8,0,14.766666666666666,43.47,768.5970488224801
2012,4,22,9,0,13.833333333333334,46.70333333333334,813.2683211017866
2012,4,22,10,0,13.066666666666668,49.65,867.3844009104386
2012,4,22,11,0,12.433333333333332,52.21666666666667,902.7298711236228
2012,4,22,12,0,12.166666666666666,53.71,931.4023274601906
2012,4,22,13,0,13.866666666666667,48.77666666666666,974.1172335044176
2012,4,22,14,0,17.566666666666666,39.42666666666667,1015.805968523449
2012,4,22,15,0,21.9,30.11,1064.7247388091052
2012,4,22,16,0,25.73333333333333,21.930000000000003,1116.4455233497674
2012,4,22,17,0,28.100000000000005,18.40333333333333,1167.3189239876092
2012,4,22,18,0,29.633333333333336,16.596666666666668,1198.6191480345924
2012,4,22,19,0,30.666666666666668,15.473333333333333,1185.443896476162
2012,4,22,20,0,31.23333333333333,14.85,1149.6764378368043
2012,4,22,21,0,31.4,14.596666666666666,1126.6169543536416
2012,4,22,22,0,31.1,14.660000000000002,1093.5504990319455
2012,4,22,23,0,30.3,15.15,1004.6512992693176
2012,4,23,0,0,28.6,16.68,906.4298600000002
2012,4,23,1,0,25.46666666666667,21.790000000000003,833.3040883564147
2012,4,23,2,0,22.6,27.16,785.5133753005056
2012,4,23,3,0,21.066666666666663,29.73,758.5704163404669
2012,4,23,4,0,19.6,32.63666666666666,744.5266312434688
2012,4,23,5,0,18.066666666666663,35.97666666666667,746.7766014861194
2012,4,23,6,0,16.666666666666668,39.63333333333333,769.1681923446681
2012,4,23,7,0,15.566666666666668,42.723333333333336,834.552230142123
2012,4,23,8,0,14.566666666666668,45.32,850.235161684535
2012,4,23,9,0,13.766666666666666,47.22,865.598331086482
2012,4,23,10,0,13.133333333333333,48.446666666666665,895.7479312125735
2012,4,23,11,0,12.666666666666666,49.06333333333333,919.9117636033563
2012,4,23,12,0,12.433333333333332,48.92333333333334,945.1887718466904
2012,4,23,13,0,13.233333333333334,45.6,960.5208534500024
2012,4,23,14,0,15.266666666666666,38.28333333333333,980.7308136320916
2012,4,23,15,0,18.0,30.39333333333333,1008.531018490654
2012,4,23,16,0,20.700000000000003,25.73,1032.490929432441
2012,4,23,17,0,23.066666666666663,22.883333333333336,1066.7775589753696
2012,4,23,18,0,25.133333333333336,20.74,1085.038184125496
2012,4,23,19,0,26.83333333333333,19.063333333333333,1089.2479201457147
2012,4,23,20,0,28.066666666666663,17.94333333333333,1070.2188106843057
2012,4,23,21,0,28.83333333333333,17.326666666666668,1069.1659170899677
2012,4,23,22,0,29.166666666666668,17.076666666666664,1044.958724668841
2012,4,23,23,0,28.9,17.3,961.0834967771528
2012,4,24,0,0,27.600000000000005,18.6,869.73815
2012,4,24,1,0,24.4,24.26,816.4299680256865
2012,4,24,2,0,21.433333333333334,31.266666666666666,785.1436418433694
